排序	编码		名称		类型		2016-06-21	2017-03-24	净增长	增长率
1	150274	鹏华一带一路分级B		分级杠杆		0.3420		0.7470		0.405	118.42%
2	150276	安信一带一路分级B		分级杠杆		0.3400		0.6800		0.34	100.0%
3	502015	长盛中证申万一带一路分级B		分级杠杆		0.3620		0.7140		0.352	97.24%
4	150296	南方中证国有企业改革分级B		分级杠杆		0.5470		0.9023		0.3553	64.95%
5	150290	中融中证煤炭指数分级B		分级杠杆		0.3230		0.5290		0.206	63.78%
6	150176	银华恒生国企指数分级B		分级杠杆		0.5714		0.9234		0.352	61.6%
7	150230	鹏华酒分级B		分级杠杆		0.6670		1.0760		0.409	61.32%
8	002425	金鹰保本混合C		保本型		1.0040		1.6120		0.608	60.56%
9	150278	鹏华高铁分级B		分级杠杆		0.4260		0.6750		0.249	58.45%
10	502008	易方达国企改革指数分级B		分级杠杆		0.6401		1.0019		0.3618	56.52%
11	150266	中融一带一路分级B		分级杠杆		1.0010		1.5490		0.548	54.75%
12	150270	招商中证白酒指数分级B		分级杠杆		0.8610		1.3280		0.467	54.24%
13	150050	南方消费进取		分级杠杆		1.8180		2.7790		0.961	52.86%
14	502018	长信中证一带一路指数分级B		分级杠杆		0.8270		1.2640		0.437	52.84%
15	150288	中融国证钢铁行业指数分级B		分级杠杆		0.4820		0.7230		0.241	50.0%
16	150294	南方中证高铁产业指数分级B		分级杠杆		0.8472		1.2490		0.4018	47.43%
17	502025	鹏华钢铁分级B		分级杠杆		0.6190		0.9110		0.292	47.17%
18	150170	汇添富恒生指数分级B		分级杠杆		0.7730		1.1320		0.359	46.44%
19	002534	华安稳固收益债券A		债券型		1.0960		1.5710		0.475	43.34%
20	150252	招商中证煤炭等权指数分级B		分级杠杆		0.8770		1.2520		0.375	42.76%
21	150136	国富中证100指数增强分级B		分级杠杆		0.4600		0.6510		0.191	41.52%
22	150095	泰信基本面400B		分级杠杆		1.1540		1.6330		0.479	41.51%
23	150097	招商中证商品B		分级杠杆		0.8040		1.1090		0.305	37.94%
24	150322	富国中证煤炭指数分级B		分级杠杆		0.9260		1.2740		0.348	37.58%
25	002230	华夏大中华混合(QDII)		QDII		1.0510		1.4310		0.38	36.16%
26	000934	国富大中华精选混合		QDII		0.8190		1.1110		0.292	35.65%
27	165525	信诚中证基建工程指数LOF		股票指数		0.9720		1.3170		0.345	35.49%
28	519091	新华泛资源优势混合		混合型		1.8250		2.4680		0.643	35.23%
29	502032	中海中证高铁产业指数分级B		分级杠杆		0.9140		1.2100		0.296	32.39%
30	000974	安信消费医药股票		股票型		0.9700		1.2770		0.307	31.65%
31	502042	长盛上证50指数分级B		分级杠杆		0.6810		0.8930		0.212	31.13%
32	150326	工银中证高铁产业指数分级B		分级杠杆		0.9149		1.1993		0.2844	31.09%
33	001662	创金沪港深精选混合		混合型		0.8790		1.1500		0.271	30.83%
34	164906	交银中证海外中国互联网指数		QDII-指数		0.8460		1.1060		0.26	30.73%
35	160127	南方新兴消费分级		股票型		1.5870		2.0680		0.481	30.31%
36	510160	南方中证小康产业ETF		ETF-场内		1.0880		1.4169		0.3289	30.23%
37	000577	安信价值精选股票		股票型		1.8250		2.3750		0.55	30.14%
38	150141	国金沪深300指数分级B		分级杠杆		1.2083		1.5683		0.36	29.79%
39	150124	建信央视50B		分级杠杆		1.4136		1.8336		0.42	29.71%
40	000457	上投摩根核心成长		股票型		1.5830		2.0530		0.47	29.69%
41	150238	鹏华环保分级B		分级杠杆		1.0040		1.3000		0.296	29.48%
42	001837	前海开源沪港深蓝筹精选混合		混合型		0.9820		1.2670		0.285	29.02%
43	070012	嘉实海外中国股票混合		QDII		0.5760		0.7430		0.167	28.99%
44	001104	华安新丝路主题股票		股票型		0.7700		0.9910		0.221	28.7%
45	050015	博时大中华亚太精选股票		QDII		0.9950		1.2770		0.282	28.34%
46	202021	南方小康ETF联接A		联接基金		0.9875		1.2670		0.2795	28.3%
47	150101	鹏华资源分级B		分级杠杆		1.0790		1.3840		0.305	28.27%
48	110022	易方达消费行业		股票型		1.2870		1.6500		0.363	28.21%
49	020026	国泰成长优选混合		混合型		2.3020		2.9510		0.649	28.19%
50	001397	建信精工制造指数增强		股票指数		0.8933		1.1405		0.2472	27.67%
51	519606	国泰金鑫		股票型		1.3070		1.6680		0.361	27.62%
