排序	编码		名称		类型		2016-09-21	2017-03-24	净增长	增长率
1	002521	永赢双利债券A		债券型		1.0200		2.8360		1.816	178.04%
2	002881	中加丰润纯债债券A		债券型		1.0062		1.7729		0.7667	76.2%
3	150274	鹏华一带一路分级B		分级杠杆		0.4550		0.7470		0.292	64.18%
4	150270	招商中证白酒指数分级B		分级杠杆		0.8190		1.3280		0.509	62.15%
5	502015	长盛中证申万一带一路分级B		分级杠杆		0.4430		0.7140		0.271	61.17%
6	150276	安信一带一路分级B		分级杠杆		0.4340		0.6800		0.246	56.68%
7	150230	鹏华酒分级B		分级杠杆		0.6960		1.0760		0.38	54.6%
8	002534	华安稳固收益债券A		债券型		1.1130		1.5710		0.458	41.15%
9	150278	鹏华高铁分级B		分级杠杆		0.4810		0.6750		0.194	40.33%
10	150266	中融一带一路分级B		分级杠杆		1.1520		1.5490		0.397	34.46%
11	150296	南方中证国有企业改革分级B		分级杠杆		0.6719		0.9023		0.2304	34.29%
12	502018	长信中证一带一路指数分级B		分级杠杆		0.9420		1.2640		0.322	34.18%
13	150050	南方消费进取		分级杠杆		2.0790		2.7790		0.7	33.67%
14	150294	南方中证高铁产业指数分级B		分级杠杆		0.9353		1.2490		0.3137	33.54%
15	502008	易方达国企改革指数分级B		分级杠杆		0.7664		1.0019		0.2355	30.73%
16	002734	泓德裕荣纯债债券A		债券型		1.0020		1.3020		0.3	29.94%
17	161725	招商中证白酒指数分级		股票指数		0.9420		1.2070		0.265	28.13%
18	150288	中融国证钢铁行业指数分级B		分级杠杆		0.5670		0.7230		0.156	27.51%
19	150136	国富中证100指数增强分级B		分级杠杆		0.5140		0.6510		0.137	26.65%
20	502025	鹏华钢铁分级B		分级杠杆		0.7370		0.9110		0.174	23.61%
21	502032	中海中证高铁产业指数分级B		分级杠杆		0.9830		1.2100		0.227	23.09%
22	160632	鹏华酒分级		股票指数		0.8820		1.0840		0.202	22.9%
23	110022	易方达消费行业		股票型		1.3430		1.6500		0.307	22.86%
24	150326	工银中证高铁产业指数分级B		分级杠杆		0.9774		1.1993		0.2219	22.7%
25	165525	信诚中证基建工程指数LOF		股票指数		1.0810		1.3170		0.236	21.83%
26	160638	鹏华一带一路分级		股票指数		0.7290		0.8860		0.157	21.54%
27	510160	南方中证小康产业ETF		ETF-场内		1.1686		1.4169		0.2483	21.25%
28	519091	新华泛资源优势混合		混合型		2.0360		2.4680		0.432	21.22%
29	160127	南方新兴消费分级		股票型		1.7230		2.0680		0.345	20.02%
30	202021	南方小康ETF联接A		联接基金		1.0569		1.2670		0.2101	19.88%
31	001662	创金沪港深精选混合		混合型		0.9620		1.1500		0.188	19.54%
32	502042	长盛上证50指数分级B		分级杠杆		0.7510		0.8930		0.142	18.91%
33	001878	嘉实沪港深精选股票		股票型		1.1520		1.3680		0.216	18.75%
34	150097	招商中证商品B		分级杠杆		0.9360		1.1090		0.173	18.48%
35	001104	华安新丝路主题股票		股票型		0.8390		0.9910		0.152	18.12%
36	502016	长信中证一带一路主题指数分级		股票指数		0.9960		1.1690		0.173	17.37%
37	690007	民生加银景气行业混合		混合型		1.8180		2.1330		0.315	17.33%
38	168201	中融一带一路分级		股票指数		1.0940		1.2820		0.188	17.18%
39	510020	博时上证超大盘ETF		ETF-场内		2.0888		2.4439		0.3551	17.0%
40	001974	景顺长城量化新动力股票		股票型		1.0070		1.1780		0.171	16.98%
41	002230	华夏大中华混合(QDII)		QDII		1.2240		1.4310		0.207	16.91%
42	150008	国投瑞银瑞和小康		固定收益		1.0100		1.1770		0.167	16.53%
43	002533	中加心享混合C		混合型		1.0261		1.1955		0.1694	16.51%
44	002160	南方驱动混合		混合型		1.0410		1.2110		0.17	16.33%
45	000974	安信消费医药股票		股票型		1.0980		1.2770		0.179	16.3%
46	050013	博时上证超大盘联接		联接基金		0.7818		0.9086		0.1268	16.22%
47	540012	汇丰晋信恒生龙头指数A		股票指数		1.3177		1.5311		0.2134	16.19%
48	502013	长盛中证申万一带一路分级		股票指数		0.7450		0.8650		0.12	16.11%
49	001149	汇丰晋信恒生龙头指数C		股票指数		1.3184		1.5279		0.2095	15.89%
50	001437	易方达瑞享混合I		混合型		1.2550		1.4540		0.199	15.86%
51	001112	东方红中国优势混合		混合型		1.0130		1.1730		0.16	15.79%
